entity	frequency
politico	51313
Silvio Berlusconi	5818
Barack Obama	1362
Hillary Clinton	556
Vladimir Putin	738
scrittore	40281
Sigmund Freud	835
J.K. Rowling	460
Ernest Hemingway	453
William Shakespeare	5496
musicista	32298
Freddie Mercury	545
Bob Dylan	2047
Madonna	40713
Wolfgang Amadeus Mozart	4612
attore	68011
Quentin Tarantino	705
Scarlett Johansson	185
Marylin Monroe	739
Woody Allen	815
stato	831483
Spagna	57297
Israele	15286
Germania	383026
Regno Unito	66631
città	398136
Roma	160716
Parigi	81094
New York	77631
Amsterdam	8439
corso d'acqua	3527
Mar Mediterraneo	18506
Oceano Atlantico	9326
Nilo	4272
Oceano Pacifico	12942
monumento	18263
Torre di Pisa	2891
Stonehenge	290
Sagrada Familia	142
Macchu Picchu	155
