entity	log_frequency
Barack Obama	5.093750200806762
Hillary Clinton	6.3473892096560105
Sigmund Freud	4.890349128221754
J.K. Rowling	5.552959584921617
Freddie Mercury	2.833213344056216
Britney Spears	6.054439346269371
Scarlett Johansson	5.5093883366279774
Robert De Niro	4.127134385045092
Israele	4.852030263919617
Sud Africa	4.532599493153256
New York	5.631211781821365
Rio De Janeiro	4.787491742782046
Cascate del Niagara	4.290459441148391
Mar dei Caraibi	3.1780538303479458
Muraglia Cinese	4.31748811353631
Piramidi di Giza	4.04305126783455
Machu Picchu	4.454347296253507
Canada	4.844187086458591
